label,comment
1,Hàng rất ok Mua hàng của shop lần thứ 2 rồi đó Sẽ tiếp tục ủng hộ shop  
1,Giao hàng nhanh  đủ hàng  đóng gói cẩn thận  
1,Hàng chất lượng cao  phù hợp vs giá thành rất okkkkkkkkkkkkk
1,Dùng ok lắm nè sạc nhanh nữa ạ
1,Cáp sạc rẻ vl và giao hàng max nhanh Mua hàng ở đây lần thứ n  lần nào cũng oke
1,Giao hàng nhanh  đóng gói chắc chắn  tgian vận chuyển nhanh lắm ạ Ốp rất đẹp  sạc chắn chắn
1,Ốp đẹp hết xảy sẽ ủng hộ shop dài dài
1,Hàng giao nhanh  shop phục vụ nhiệt tình và quan tâm khách  rất tâm lý nữa Vote 5* tặng shop Chất lượng sản phẩm rất tuyệt so với giá tiền  mọi người nên mua nhé
1,Rất hài lòng
1,Đóng gói cẩn thận Sản phẩm rất chi là ok chỉ có điều giao hàng hơi lâu ạ
0,Áo này chán quá không thèm bóc luôn  in màu thì len nhem  vải thì mỏng  mỏng như giấy vậy  sao mà mặc  
0,Vải mỏng   xấu  chất lượng kém
0,Hàng kém chất lượng  
0,Áo đẹp nhưng vải quá mỏng Tiền nào quả nấy nhưng khuyên mng k nên mua
0,Nếu có 0* thì tôi chắc chắn vote 0* K thể chấp nhận được Áo mỏng
0,mình đặt 3 chiếc áo mà shop chỉ gửi cho mình 2 chiếc áo  nhắn tin cho chop thì shop ko tl
0,vải mặt trc ngắn hơn mặt sau k bằng
0,Giao thiếu nhiều hàng Tính ra thiếu nên thành 45k 1 cái áo Sai màu Đặt 2 cái đen  trắng mà gửi mỗi 1 cái màu xanh Chả lẽ lại quay lại trả hàng phiền phức Lần sau cạch shop  Chưa bh mua mà gặp trường hợp này Bực mình
0,Áo form quá xấu Như áo của bố Vải bt   in quá xấu Áo còn bị tuột 1 hàng chỉ dài   xấu
0,- cái này thì cũng trông không tởm lắm   cơ mà chất vải vừa nóng vừa bó bó   ncl chỉ là khá hơn cái kia chứ so với các shop khác thì k bằng Bạn nào thích hàng rẻ  k quen chất lượng thì vào đây mà mua   còn qtam chất lượng thì đừng mua   thất vọng đấy ạ   Các chị có dinhs như em không:(
0,Ở ngoài k như hình
0,Vải rất mỏng nhìu sợi chỉ dư
0,Shop làm  việc thiếu trách nhiệm  giao đơn thiếu áo nhưng khi muốn giải quyết thì không trả lời cho khách  tổng đơn có 3 cái áo mà cứ hỏi kiểm tra kỹ chưa  có 3 cái không lẻ k đếm đc  trọng lượng khi giao chỉ có 450g  3 cái áo mà chỉ có hơn 4 lạng à Mấy k nên mua shop thiếu trách nhiệm này
0,Quảng cáo ao thun rộng đưa cho áo bó sát đít còn bị căng gần như đứt cmn chỉ ra bán kiểu treo đâu dê bán thịt chó   bị lừa cay cú đ chịu đc   ae nào đinh mua cạch cmn chỗ này ra   mua cho con em mấy cái áo mà bị phát cay vch
0,Vải tạm  nhưng k thể tin được là shop giao áo bị lem màu cho khách được ạ Quá buồn quá thất vọng  mọi ng mua hàng nhớ lưu ý
0,Treo đầu dê bán thịt chó  Tay áo không được dài  màu vải xanh khá xấu  tối và già kiểu vải các cụ mặc  được cái giao nhanh và đúng hàng Hic  bạn nào mua thò né màu xanh nha  vải mặc như các cụ già ý  
0,Áo đã xấu lại còn bị lỗi mua về làm dẻ lót tổ chó
0,Đúng là tiền nào của nấy
0,Vải tệ  mỏng  nói chung theo thang 10d mình cho 4d
0,Áo mỏng Màu trắng làm rõ nội y Màu đèn tạm đc
0,áo màu trắng đặc biệt mỏng  áo màu xanh thì đỡ hơn
0,Áo vải tạm đc  hơi mỏng tuy nhiên chưa đến nỗi lộ nội y Nhưng ông shiper lôi thôi làm mình đnahs giá rớt của shop 1 sao
0,Chất xấu lắm nhg phù hợp với giá   
0,Áo hơi mỏng và chất ko dk đep
0,Vải nhàu phản quang thì bị thừa chỉ
0,Shop giao sai màu  sai mẫu
0,Vải mỏng  màu ko đều  có chỗ màu đậm màu nhạt
0,Lỗi hàng bị lủng nguyên một lỗ bự luôn
0,Áo quá mỏng   chất nóng   dễ sổ   hình in bị phai mầu của áo  Chuẩn tiền nào của đây
0,Đặt 2 cái mà giao 1 cái  nhắn tin shop không trả lời  mua hàng lần đầu mà đã vậy  chắc phải xem xét lần hai rồi Nhưng   áo đẹp lắm  form rộng  mặc lên khá đẹp  vải hơi nặng nhưng vẫn OK  
0,Áo xấu   hình không đẹp   vải dày   nóng
0,Hơi thất vọng về chất vải Giống như áo thể thao vậy
0,0 giống hình cứ như bị dị tật
0,Áo lần nay về k ưng lắm Giao hàng thì gần 10 ngày ms nhận đc hàng Cho 2s
0,Áo nhỏ in hình bị lệch
0,Hàng cũng tàm tạm  in chữ hơi xấu  giặt vài bữa chắc bị bong ra hết Rút kinh nghiệm nên mua màu đen  vải màu xanh đậm ở các shop thường già lắm  
1,Áo rất đẹp Dày  Rất đáng tiền            nên mua nhé mn Màu sắc tuy có hơi đậm hơn ảnh quảng cáo tẹo nhưng giá thế quá ok
1,chất lượng sản phẩm tạm ổn vải khá dày dặn nhưng nóng và xù tạm được
1,mình mong là shop sẽ may cổ nhỏ hơn 1 chút  chất phải quá đẹp  thích cực nhưng vẫn mong cổ áo nhỏ hơn
1,Shop giao đủ hàng đúng màu rất uy tín mình rất thích điều này luôn Còn về chất lượng áo thì đẹp hơn giá nhà mn  ở ngoài không được rẻ mà đẹp vậy đâu á Cảm ơn shop nhiều lắm nha  cho shop nghìn sao ủng hộ nha  
1,Vải bao đẹp rất đáng tiền mua sẽ ủng hộ shop
1,Áo xink vải cũng ok lắm nha nhưng mà hình in nên dễ tróc ra  nhưng mà nchung cũng toẹt vời lắm nho
1,vải ko phải cotton mà là tici  mặc hơi nóng lâu ngày sẽ bị sổ lông  mong shop khắc phục lại chất lg của vải 
1,Sản phẩm đẹp  đóng gói chắc chắn  giao hàng nhanh  shop tư vấn nhiệt tình Sẽ ủng hộ lần sau
1,Áo form siêu đẹp Chất hơi nóg nhưg chấp nhận dc Lần t2 mua hàg r ạ
1,Vải đẹp  giống hình  giáo nhanh  cái ảnh trên ko liên quan lắm
1,Mình mới nhận được áo Quá đẹp luôn ạ Mình thích lắm lắm luôn Sẽ ủng hộ shop dài dài
1,Áo rất đẹp ạ  Mặc dù vải mong nhưng với giá tiền như vậy là quá ổn rồi ạ
1,Giá cả oke Form đẹp Chất hơi nóg xiwu 5 sao nhê
1,Áo chất đẹp lunnnn nhaaaaa  UwU em 42kg m6 mặc vừa lunnnn ạ   3 time giao hàng hơi lâu
1,Áo đẹp như hình phù hợp với giá tiền ạ Lần sau nhất định sẽ ủng hộ shopppoppp
1,Áo đẹp Shop nhiệt tình
1,Áo khá xinh  hơi nhiều chỉ thừa  hình quả bơ in lỗi không có hạt  mình phải lấy bút highlight tô cho đỡ trống trải
1,Áo đẹp  giá rẻ  giao hàng đung hẹn  riêng áo màu đỏ vải thun mặc nóng hơn hai màu còn lại
1,Sản phẩm ổn giao nhanh đúng mẫu
1,Chất lượng sản phẩm tốt  vải dày dặn  giao hàng nhanh  shop phục vụ tốt
1,Lần đầu mua shop nhưng rất ưng ạ áo đẹp   cho shoppp năm saoo luôn ạ
1,Đẹp luôn Mà mình chụp dìm quá :< Ngoài đời màu đẹp nha mng Sẽ ủng hộ shop
1,Giao hàng nhanh Giả cả họp lí Giao đúng sản phẩm  Mọi người nên mua đồ nha
1,Áo rất đẹp giá rẻ phù hợp chất lượng áo rất tốt sẽ tiếp tục ủng hộ shop
1,Chất vải phù hợp với giá tiền   cũng okkkkkkkkkkkkkkkkkkkkkk
1,Giao hàng nhanh đóng gói sản phẩm chắc chắn  áo cực đẹp   vải dày không có nết nhăn trên áo như đi mua tiệm vậy shop cực dễ thương nhưng sao hổg có hạt bơ trên áo
1,Áo đẹp  giống với hình Vải mịn nhưng hơi mỏng Giá cả như vậy là hợp lý
1,Áo đẹp  chất vải đc  khá dày in đẹp nha mn
1,Đóng gói đẹp   giao hàng nhanh mở ra áo rất đẹp và ưng ý  Sẽ ủng hộ shop nhiều hơn
1,Màu hơi nhạt so với hình một xíu  nhưng mà chất ổn hơi nóng nhưng với giá đó là ok rồi ạ
1,Đẹp cực  from mặt thoải mái  shipper nhiệt tình
1,Mua lần đầu mà thấy giá so với chất vậy là ổn
1,Áo thun đẹp  chất vải khá dày  mặc mát Chất lượng rất ổn so với giá tiền
0,Chữ in xấu
1,Áo rất rất rộng so với mình  chất vải thì tạm ổn  soạn hàng rất lâu
1,Áo dày dặn Nhưng mặc nóng Vải hơi lỗi Nói chung hợp với giá tiền
1,Áo vải dày có vẻ hơi nóng nhưng vs giá như vậy thì cũng ok Giao hàng hơi lâu xíu
1,Chất khá ổn
1,Chất liệu tốt   màu áo cũng đẹp
0,Áo k có xẻ tà như trong hình
0,áo chất tạm được thôi  hình in xấu với lem màu không hài lòng cho lắm
0,Áo chất nóng  ngắn so với hình nhưng được cái rộng Giao hàng cũng lâu nữa
0,Ad giao ko đúng màu ạ
1,Hình in k dc đẹp  vải hơi mỏng nhưng chất cũng ok tương xứng giá tiền
1,Không rộng giống hình lắm Vải khá mỏng nhưng giá vậy là Okie rồi Thời gian giao hàng khá nhanh 
0,Mình thấy sách khá là cũ và còn không có tờ đánh dấu trang đang đọc nữa nên mình khá là thất vọng  
0,Sách xấu cũ ko có bọc bị trầy xước  chưa lần nào mua mà thất vọng như lần này  Thật đáng buồn
0,tiền đã thanh toán vô trách nhiệm  làm ăn như mất uy tín
0,Sách bị lỗi cần đổi hàng 
0,Nội dung rất chung chung và cảm thấy ko chất lượng
0,Nội dung sách k như tựa đề sách
0,Mình hay đọc sách và mình giữ sách rất là kĩ nhưng thật sự lần này mình đặt sách và k được hài lòng  sách giao không có bọc nilong bên ngoài còn bị dơ nữa nhìn rất là giống sách cũ mình hi vọng lần sau k còn tình trạng dơ như vậy nữa
0,"Mình là người khá là thẳng tính và hơi nóng nên khi thấy tiêu đề quyển sách liền đặt ngay mà không để ý đến nội dung được ghi trước Vậy nên  khi đọc xong mình không thích về nội dung sách lắm nhưng cũng không hối hận vì đã mua nó ^^ đọc nhiều thì trau dồi thêm kiến thức nên chẳng sao cả - Thứ nhất  mình nghĩ sách không phù hợp với các bạn trẻ và người theo chủ nghĩa thực tế hoặc những người có hoài bão lớn) vì chủ yếu trong sách hầu hết đều theo khái niệm ""buông bỏ"" Thực chất mà nói  đối với mình quyển sách này không phù hợp với cả người già vì mình theo chủ nghĩa sống hết mình  nên dù già thì cũng nên làm gì đó góp ích cho đời thay vì cứ buông rồi thả  Có lẽ sách hợp với người tu hành hơn - Thứ hai  một số quan điểm của tác giả mình không đồng tình cho lắm vì nó đi ngược với thời đại xã hội bây giờ như việc tác giả bảo rằng sống mà tham vọng quá nhiều thì tâm sẽ không bao giờ được tĩnh Mỗi người một cách sống nhưng nếu ai cũng không có ước mơ  không có hoài bão để rồi không có động lực  suốt ngày chỉ dưỡng tâm tính thì sau này xã hội sẽ quay về số 0 - Thứ ba  vì càng về sau mình càng thấy không hợp với mình nên mình không đọc nữa và trao tặng cho chị mình đọc thử  Nên mình không rõ các phần sau như nào Tóm gọn lại  đây là nhận xét chủ quan của bản thân mình  với lại nhiều chỗ có thể mình hiểu lầm ý nên mong mọi người thông cảm nếu mắc phải khi nhận xét Và mình không hợp với quyển sách này và chắc 1 số người cũng sẽ không hợp  mọi người nhớ cân nhắc trước khi mua sản phẩm ^^"
0,Tiki dnay làm ăn chán thế nhỉ ? Giao tới hộp thì rách như hình   sách k có bọc nilon  Góc sách thì bị quăn queo và nhàu  ) luôn đặt sách ở tiki mà gần đây hơi thất vọng
0,bỏ tiền mua book care vs mong muốn bảo vệ sách nhưng tiki giao luôn cho miếng nilon chung vs cuốn sách ????? ko hiểu bao kiểu gì luôn
0,không thật sự hay lắm  giống như bị ám ảnh tôn giáo vậy  nếu bạn đạo phật thì cuốn này có lẽ sẽ hay
0,sách rất đẹp nhưng khi nhận k có markbook nhà sách xem xét ạ
0,đọc chán không hay như mong đợi không nên mua đọc tốn thời gian
0,Nghe tựa thì rất hoành tráng Tuy nhiên đọc 13 đã chán
0,Trước đây mình có đặt sách trên tiki thấy chất lượng rất ổn  sách mua về còn nguyên bọc nilon  riêng cuốn này k còn  bìa sách đã gãy  sách dơ nữa Nên mình nghĩ sách đã có đọc rồi  sách này có dịch vụ tikinow nên mình nghĩ do tiki kiểm tra chưa kĩ  cần lưu ý hơn vì muốn mua cuốn sách tặng cho người khác mà bị vậy cũng k dám tặng
0,Mình mua sách và có sử dụng book care  nhưng khi nhận sách thì ko có (sách trơn ko được bọc sách) mình đã liên hệ: gọi điện phản ánh  nhắn email Tuy nhiên đến nay chưa nhận được phản hồi về cách giải quyết của Tiki Khá thất vọng về dịch vụ
0,sách để trong hộp nhưng lại ko được bọc lại hy vọng lần sau mua sách trên tiki sách sẽ đc bọc lại  tránh việc trong quá trình vận chuyển có sự va đập
0,Mua sách Tiki mọi lần vẫn tốt rất nhưng lần này không biết do bên giao hàng hay bên bán hàng mà khi nhận quyển sách như thế này chán  
0,Mình vừa nhận được sách  chưa đọc nên không nhận xét nội dung Nhưng sách vừa mở ra đã thấy bị rách góc  buồn thiu
0,Không hài lòng vì bìa sách bị rách
0,Dạo gần đây thì sách bên tiki giao rất hay xảy ra lỗi  khi đặt cuốn này cũng hơi do dự vì bản thân mình rất không thích thấy sách bị nham nhở khi mà còn chưa đọc Nhận về thì cuốn này cũng bị 1 số chổ  và thêm 1 cái tiki gói hàng rất sơ sài  gói sách mà quăng thẳng cuốn sách ko bao bọc gì vào hộp giấy như vậy thì không có tâm tí nào hết Thêm nữa là keo dán r hộp thì bung béo  rách hở cả ra hết Mong là mấy vụ gây ảnh hưởng đến thiện cảm người mua ntn sẽ sớm đc khắc phục 🌸 #Với cá nhân mình  chỉ mới đọc thôi  nhưng nội dung sách cực kì lôi cuốn và đáng để suy ngẫm ❤
0,Chất lượng giấy xấu  mỏng  khó đọc  bìa rất mỏng  nói chung là không hài lòng
0,Dù chưa đọc nhưng sách bị lỗi như trong ảnh  mất rất nhiều chữ  kh đọc được  gáy sách móp méo  trang giấy bị rách Nhưng giao hàng nhanh Mong tiki khắc phục và bảo quản sản phẩm tốt hơn
1,Chất lượng sách cũng tạm vừa tầm giá Sẽ ủng hộ Tiki
1,giao hàng nhanh   sách mới
1,Các ý tưởng trong cuốn sách phần nào tương đồng với cuốn quẳng gánh lo và vui sống của carnegie nhưng theo kiểu triết lý nhà Phật Tóm lại là cũng được  ko quá xuất sắc
1,Sách rất đẹp  giao hàng rất nhanh nha  đặt hôm trước hôm sau có luôn  shipper nhiệt tình  tuy nhiên bookcard hơi mỏng
1,sách hay  nhìn bìa đẹp là thích rồi  giao hàng nhanh  shipper thân thiện  mình rất thích mua hàng trên tiki
1,Thời gian giao hàng nhanh hơn dự kiến  vừa đặt mà hôm sau đã nhận được hàng luôn rồi ^^
1,sản phẩm tốt   mới nhưng hơi tróc vỏ ngoài tí xíu ( có lẽ do bảo quản  vận chuyển   )
1,Nhận hàng sau 3 ngày đặt  sách bản đẹp  chữ in rõ ràng  giấy bóng láng  Cám ơn
1,Sản phẩm tốt Giao hàng lại nhanh nữa bmNanj nòa cần kiểm soát bản thân thì nên mua
1,Rất hài lòng về chất lượng sách của Tiki  thời gian giao hàng nhanh Còn về nội dung thì phải nói là xuất sắc Sách viết về đề tài thế chiến thứ hai chiến tranh nhưng không thô không gai góc mà rất đẹp Tuyến nhân vật và cốt truyện được xây dựng hoàn hảo
1,"Sách được giao nguyên vẹn  đẹp đẽ Lúc mình nhận là sau 2 lần hoãn do mình ko có ở nhà Hôm trước lúc nhận hàng anh shipper nói là ""Ngày mai bạn có muốn nhận hàng ko  nay mình để hàng ở kho rồi (do sáng anh ấy gọi mình ko được nên ko mang theo) Vì sợ mang tới mang lui thì sẽ bị va  sốc  sẽ ko tốt cho sách"" 😊 Nghe xong mình mát ruột mát gan gì đâu á  vì mình cũng là 1 người thích giữ sách Hôm nhận hàng thì đúng là sách vẫn còn nguyên vẹn  chẳng cong chẳng vênh tí nào Sách còn được bọc trong bao kính Kết luận: KHÔNG THỂ HÀI LÒNG HƠN "
1,Shop giao hàng khá nhanh  sản phẩm chất lượng  đẹp ko bị gì vẫn còn nguyên vẹn  gói hàng cũng rất kĩ càng
1,Sách đáng được độc giả chọn lựa Bề ngoài đẹp Giao hàng nhanh
1,Cuốn sách thách thức sự kiên nhẫn của người đọc Anw hãy đọc em nó  chắc chắn bạn sẽ không thất vọng  
1,Giao hàng nhanh  đóng gói kĩ  chất lượng sản phẩm tốt
1,Lúc nào cũng hài lòng Sách mới  kèm bookmark bao bọc cẩn thận
1,tuy chỉ đặt tiki vài lần nhưng lần nào cũng đều hài lòng cả vì chất lượng sách đều rất tốt
1,Giao hàng sớm hơn dự kiến   sách đảm bảo   tiki phát huy nhé
1,Sản phẩm ổn   mình tuy chưa đọc nội dung nhưng sách rất mới
1,Tốt đẹp nhanh đóng gói cẩn thận Sẽ tiếp tục ủng hộ
1,Hài lòng với nôi dung lẫn hình thức sách
1,được bọc gói cẩn thận siêu đẹp luônn
1,Tiki giao nhanh  ổn 100% perfect  
1,mua lại rất hài lòng còn nội dung thì chỉ có 1 chữ là hay
1,Sách đóng gói đẹp  nội dung hay
1,Giao hàng nhanh  sách chất lượng
1,Nội dung của sách khá thú vị
1,Sách rất đẹp  tác giả viết nên cuốn sách bằng những lời văn dung dị  chân thực và tự nhiên Theo tôi  đây là một cuốn sách hay cho cả người trẻ muốn phát triển bản thân hay phụ nữ đã lập gia đình và có con  
0,Mình đặt giao TiKinow hẹn giao trước 12h nhưng 13h mới nhận được hàng  không hề có 1 tin nhắn hay 1 cuộc gọi báo giao trễ để cho mình sắp xếp công viêc và đi ăn trưa Mình thì sợ các bạn giao đến ko có mình lại phải mất công giao lại lần nữa Rất không hài lòng và khó chịu với TiKi về việc này  
0,Mình đặt tay cầm chống rung cho công ty từ hôm đầu tháng đã nhờ xuất hóa đơn nhưng tới bây giờ vẫn chưa thấy  mỗi lần gọi điện lên tiki toàn hẹn hết ngày này đến ngày khác hẹn tới hôm nay hơn 2 tuần rồi mà vẫn chưa báo kết quả và xuất hóa đơn để mình thanh toán cho công ty Thật sự thất vọng về Tiki
0,Gimbal quay vài ngày là hết dung lượng trong app Mặc dù điện thoại vẫn còn dung lượng Video quay quá 5ph là không được xuất ra bộ sưu tập
0,Mua về dùng chạy được 20 phút thì có hiện tượng chạy không thể kiểm soát  đôi lúc tự gục xuống mất cân bằng  pin thì còn nhiều
0,Mới mua dc 2 ngày mà hư nút trức năq rồi
0,nv kỹ thuật tư vấn và hướng dẫn sử dụng ko chuyên nghiệp  nc khó nghe
0,Đặt hàng cả tháng mà cứ hứa Hoài
0,Hôm qua ms mua con này   sang hôm nay đã lỗi Liên hệ tiki lại bảo chờ kt gọi lại Chờ mõi mòn không thấy đâu      
0,thay vì mua con này nên mua dji osmo gimbal 2 vừa nhẹ dễ mang đi du lịch vừa đủ chức năng sử dụng  k quá cầu kỳ như con này
0,Sản phẩm hơi to và tay cầm rất nặng  chống rung tốt nhưng đã bị rụng sau 1 tháng sử dụng  
0,Hàng mình mua về khui hộp set up theo hướng dẫn trên mạng 2 ngày rồi mà bấm vào xem được ko quá 3p là đơ  xong reset đi reset lại vài chục lần vẫn y chang như vậy  mua thêm bực vào người  lúc trước mua cái kích sóng wifi của xiaomi cũng xài đc nửa tháng rồi hư reset trăm lần  😤
0,Cam đẹp  trông xịn xò Tuy nhiên khi làm theo hướng dẫn về cách kết nối Cam với app Mi Home để kích hoạt thì không thể kích hoạt được Dù đã tìm hiểu thông tin cũng như hỏi các nguồn uy tín cũng không biết là do app hay lỗi kỹ thuật phần nào Đã khiếu nại số hotline  mua 204 và hnay 224 vẫn đang đợi Tiki qua thu hàng về  
0,mua camera từ 2201 đến nay 2103 chỗ mình cúp điện lưới 2 lần  lần nào cúp xong có lại cam đều bị lỗi kết nối  lần chớp chớp đèn xanh  lần thì đèn xanh sáng  khi vào úng dụng thì vẫn báo offline mình muốn đổi trả hoặc bảo hành
0,Tôi đặt mua và nhận camera này nhưng không quét được mã QR code   bên Tiki đã đổi cho 1 sản phẩm khác tuy nhiên vẫn không thể quét được mặc dù đã chụp ảnh QR code và phóng to ra để quét theo một số comment khác Mất rất nhiều thời gian nhưng không sử dụng được sản phẩm  đáng nhẽ trước khi đổi camera cho tôi bên Tiki nên test thử trước khi giao hàng Tôi muốn trả lại hàng 
0,Mình vừa nhận sản phẩm này sáng nay  đã connect thành công nhưng nếu sử dụng chức năng xoay camera thì sẽ dính lỗi tự động tắt dù nguồn vẫn cắm  ấn nút reset camera khởi động lại có sáng đèn nhưng khi phần ống kính di chuyển đến 1 vị trí nhất định sẽ tự tắt  không thể kết nối được nữa  
